,oldMonth,tmean_f,Month,Temp
0,January,45.06927831151464,March,44.32141173562886
1,February,43.95469910217835,April,46.15176732569565
2,March,44.32141173562886,May,48.28087180808738
3,April,46.15176732569565,June,50.44742182978877
4,May,48.28087180808738,July,50.48631019121335
5,June,50.44742182978877,August,50.600636837806235
6,July,50.48631019121335,September,49.89127570258247
7,August,50.600636837806235,October,49.05695088704427
8,September,49.89127570258247,November,47.091816579559705
9,October,49.05695088704427,December,45.72306688096788
10,November,47.091816579559705,January,45.06927831151464
11,December,45.72306688096788,February,43.95469910217835
