oldMonth,oldNDVI,Month,NDVI
January,0.008254947393764646,March,0.010218366016576289
February,0.010833531526135769,April,0.009010998850576872
March,0.010218366016576289,May,0.007159843410923331
April,0.009010998850576872,June,0.006088431387722249
May,0.007159843410923331,July,0.008067990080095212
June,0.006088431387722249,August,0.007113006206517615
July,0.008067990080095212,September,0.010740095326731761
August,0.007113006206517615,October,0.010465854097861696
September,0.010740095326731761,November,0.010815378848077647
October,0.010465854097861696,December,0.009279124955279619
November,0.010815378848077647,January,0.008254947393764646
December,0.009279124955279619,February,0.010833531526135769
