oldMonth,oldNDVI,Month,NDVI
January,0.8007581376440731,November,0.7634201181670766
February,0.7197433085500458,December,0.793362688606168
March,0.6837444540895062,January,0.8007581376440731
April,0.6825785677657168,February,0.7197433085500458
May,0.6993828942859501,March,0.6837444540895062
June,0.7278447943648495,April,0.6825785677657168
July,0.7164335404819007,May,0.6993828942859501
August,0.695750126924723,June,0.7278447943648495
September,0.7681182162148095,July,0.7164335404819007
October,0.7406788596853345,August,0.695750126924723
November,0.7634201181670766,September,0.7681182162148095
December,0.793362688606168,October,0.7406788596853345
