oldMonth,RF_in,Month,RF
January,9.82065336339464,May,6.751630993721282
February,9.717703143452242,June,3.9200551693639563
March,14.547701156292003,July,6.313074824489538
April,12.86088447729078,August,7.5203972382160655
May,6.751630993721282,September,4.430286003318259
June,3.9200551693639563,October,6.5932891589398706
July,6.313074824489538,November,10.823771446839809
August,7.5203972382160655,December,11.112596698335313
September,4.430286003318259,January,9.82065336339464
October,6.5932891589398706,February,9.717703143452242
November,10.823771446839809,March,14.547701156292003
December,11.112596698335313,April,12.86088447729078
