,Year,Month,Temp
0,1990.0,1.0,63.10467664930556
1,1990.0,2.0,60.53277452256944
2,1990.0,3.0,60.99749077690973
3,1990.0,4.0,62.930430772569444
4,1990.0,5.0,63.787112087673606
5,1990.0,6.0,65.43806694878472
6,1990.0,7.0,66.3692626953125
7,1990.0,8.0,67.52836371527778
8,1990.0,9.0,67.97369249131944
9,1990.0,10.0,66.16409776475695
10,1990.0,11.0,66.13544650607639
11,1990.0,12.0,62.065578884548614
12,1991.0,1.0,59.537776692708334
13,1991.0,2.0,61.160693359375
14,1991.0,3.0,61.101437717013894
15,1991.0,4.0,61.94179416232639
16,1991.0,5.0,63.341680230034726
17,1991.0,6.0,64.109765625
18,1991.0,7.0,65.21159667968749
19,1991.0,8.0,67.63465711805556
20,1991.0,9.0,66.47637803819444
21,1991.0,10.0,64.79256184895834
22,1991.0,11.0,64.95134548611111
23,1991.0,12.0,62.96388888888889
24,1992.0,1.0,58.939539930555554
25,1992.0,2.0,59.48747016059028
26,1992.0,3.0,60.470372178819446
27,1992.0,4.0,61.64667426215278
28,1992.0,5.0,63.94653591579861
29,1992.0,6.0,66.21092936197917
30,1992.0,7.0,66.83189561631944
31,1992.0,8.0,67.95938313802083
32,1992.0,9.0,68.00017361111111
33,1992.0,10.0,66.5929416232639
34,1992.0,11.0,65.12059461805555
35,1992.0,12.0,63.40574001736111
36,1993.0,1.0,59.09580891927084
37,1993.0,2.0,57.90330132378472
38,1993.0,3.0,60.33037380642361
39,1993.0,4.0,62.36500108506945
40,1993.0,5.0,62.69592556423611
41,1993.0,6.0,64.96565212673612
42,1993.0,7.0,66.20373806423612
43,1993.0,8.0,66.44269205729167
44,1993.0,9.0,66.17178819444445
45,1993.0,10.0,65.35010850694445
46,1993.0,11.0,62.54833170572917
47,1993.0,12.0,60.98311360677083
48,1994.0,1.0,59.095814344618056
49,1994.0,2.0,61.14805772569444
50,1994.0,3.0,60.70548773871528
51,1994.0,4.0,62.18273654513889
52,1994.0,5.0,63.42891710069445
53,1994.0,6.0,64.81391872829862
54,1994.0,7.0,67.19315321180557
55,1994.0,8.0,67.31036241319444
56,1994.0,9.0,66.895068359375
57,1994.0,10.0,65.36432834201389
58,1994.0,11.0,65.39219563802084
59,1994.0,12.0,61.17576497395834
60,1995.0,1.0,59.14707845052084
61,1995.0,2.0,59.213587782118054
62,1995.0,3.0,61.880626085069444
63,1995.0,4.0,63.270833333333336
64,1995.0,5.0,63.82348904079861
65,1995.0,6.0,64.99490831163195
66,1995.0,7.0,66.74615342881944
67,1995.0,8.0,66.53313802083333
68,1995.0,9.0,65.38913845486111
69,1995.0,10.0,66.1044921875
70,1995.0,11.0,64.18154568142361
71,1995.0,12.0,62.112757703993054
72,1996.0,1.0,62.20652126736111
73,1996.0,2.0,60.346866861979166
74,1996.0,3.0,60.55240071614583
75,1996.0,4.0,64.01783311631945
76,1996.0,5.0,65.37026638454861
77,1996.0,6.0,66.46067437065972
78,1996.0,7.0,67.37587619357639
79,1996.0,8.0,66.129541015625
80,1996.0,9.0,66.72683648003472
81,1996.0,10.0,65.94472113715278
82,1996.0,11.0,65.58213975694444
83,1996.0,12.0,62.439325629340274
84,1997.0,1.0,60.824131944444446
85,1997.0,2.0,60.708501519097226
86,1997.0,3.0,62.0983154296875
87,1997.0,4.0,62.494425455729164
88,1997.0,5.0,63.97964680989583
89,1997.0,6.0,66.93431260850696
90,1997.0,7.0,67.10289984809027
91,1997.0,8.0,66.24912651909722
92,1997.0,9.0,66.96588541666667
93,1997.0,10.0,65.50760633680557
94,1997.0,11.0,63.748437499999994
95,1997.0,12.0,61.255612521701394
96,1998.0,1.0,59.510625542534726
97,1998.0,2.0,59.30013292100695
98,1998.0,3.0,61.13250054253473
99,1998.0,4.0,62.89644097222222
100,1998.0,5.0,63.27466905381945
101,1998.0,6.0,64.56498480902778
102,1998.0,7.0,65.1294406467014
103,1998.0,8.0,66.39057345920139
104,1998.0,9.0,66.29161241319446
105,1998.0,10.0,65.65429144965279
106,1998.0,11.0,64.86743977864583
107,1998.0,12.0,62.59718153211806
108,1999.0,1.0,61.503873697916674
109,1999.0,2.0,60.921747504340274
110,1999.0,3.0,61.66396484375
111,1999.0,4.0,62.22371148003472
112,1999.0,5.0,63.95759548611112
113,1999.0,6.0,64.66775987413195
114,1999.0,7.0,64.99515516493057
115,1999.0,8.0,66.01622992621529
116,1999.0,9.0,65.42218153211806
117,1999.0,10.0,64.6269504123264
118,1999.0,11.0,63.585530598958336
119,1999.0,12.0,62.218798828125
120,2000.0,1.0,60.273518880208336
121,2000.0,2.0,60.31562771267361
122,2000.0,3.0,61.43450249565972
123,2000.0,4.0,62.65301378038194
124,2000.0,5.0,64.20950249565973
125,2000.0,6.0,65.3644287109375
126,2000.0,7.0,66.97803548177083
127,2000.0,8.0,67.47035590277778
128,2000.0,9.0,66.831884765625
129,2000.0,10.0,65.75359700520833
130,2000.0,11.0,64.32584092881945
131,2000.0,12.0,61.681431749131946
132,2001.0,1.0,61.60207248263889
133,2001.0,2.0,61.5199462890625
134,2001.0,3.0,61.37099066840278
135,2001.0,4.0,63.29649251302083
136,2001.0,5.0,63.35584581163195
137,2001.0,6.0,65.20381944444443
138,2001.0,7.0,66.54324544270833
139,2001.0,8.0,67.92789442274307
140,2001.0,9.0,67.14918619791666
141,2001.0,10.0,65.49034016927084
142,2001.0,11.0,65.26991102430556
143,2001.0,12.0,63.72445475260417
144,2002.0,1.0,62.26526150173611
145,2002.0,2.0,60.18046603732639
146,2002.0,3.0,61.84265407986111
147,2002.0,4.0,64.18126898871529
148,2002.0,5.0,65.52925889756945
149,2002.0,6.0,65.79253472222223
150,2002.0,7.0,67.41945258246528
151,2002.0,8.0,67.6409152560764
152,2002.0,9.0,66.67620442708333
153,2002.0,10.0,66.2173828125
154,2002.0,11.0,63.95054796006944
155,2002.0,12.0,62.59305826822917
156,2003.0,1.0,61.05589463975694
157,2003.0,2.0,61.24706759982639
158,2003.0,3.0,62.60954861111111
159,2003.0,4.0,63.76898871527777
160,2003.0,5.0,64.57976345486111
161,2003.0,6.0,65.86640353732639
162,2003.0,7.0,67.17098253038193
163,2003.0,8.0,67.78465169270834
164,2003.0,9.0,67.25252549913195
165,2003.0,10.0,66.52648111979167
166,2003.0,11.0,64.92293023003472
167,2003.0,12.0,63.672298177083334
168,2004.0,1.0,62.144740125868054
169,2004.0,2.0,63.39238552517361
170,2004.0,3.0,63.24172092013889
171,2004.0,4.0,63.8799560546875
172,2004.0,5.0,66.23245171440972
173,2004.0,6.0,66.58954264322917
174,2004.0,7.0,66.79360080295139
175,2004.0,8.0,68.12958984375001
176,2004.0,9.0,67.17140028211806
177,2004.0,10.0,66.82307942708334
178,2004.0,11.0,65.60375162760417
179,2004.0,12.0,63.278469509548614
180,2005.0,1.0,62.175501844618054
181,2005.0,2.0,61.697545030381946
182,2005.0,3.0,62.40144856770833
183,2005.0,4.0,63.96512858072917
184,2005.0,5.0,65.28992784288195
185,2005.0,6.0,66.58838704427083
186,2005.0,7.0,67.62210286458333
187,2005.0,8.0,67.22771809895833
188,2005.0,9.0,67.85779893663195
