oldMonth,RF_in,Month,RF
January,5.7494346194516375,May,3.4876933728481383
February,4.656114560563474,June,2.7409353106687857
March,6.477767095343135,July,3.738744440843846
April,5.49361906208986,August,3.7116975324493784
May,3.4876933728481383,September,2.165288494224455
June,2.7409353106687857,October,3.225033089253518
July,3.738744440843846,November,5.23357480964616
August,3.7116975324493784,December,5.408275400104289
September,2.165288494224455,January,5.7494346194516375
October,3.225033089253518,February,4.656114560563474
November,5.23357480964616,March,6.477767095343135
December,5.408275400104289,April,5.49361906208986
