oldMonth,oldNDVI,Month,NDVI
January,0.6549305762773678,November,0.5951419274600935
February,0.6065101284450956,December,0.6424991372190876
March,0.5614321484977816,January,0.6549305762773678
April,0.5186278831358762,February,0.6065101284450956
May,0.5359040230427712,March,0.5614321484977816
June,0.4931527769010857,April,0.5186278831358762
July,0.45193013664890447,May,0.5359040230427712
August,0.5358000598628523,June,0.4931527769010857
September,0.5439292404160314,July,0.45193013664890447
October,0.5572295664382456,August,0.5358000598628523
November,0.5951419274600935,September,0.5439292404160314
December,0.6424991372190876,October,0.5572295664382456
