,oldMonth,OldTemp,Month,Temp
0,January,63.47679056138606,May,66.08959330884244
1,February,62.990928052728236,June,67.27317951962688
2,March,63.56969973628467,July,68.4418009287942
3,April,64.59573228120918,August,68.95870840904597
4,May,66.08959330884244,September,68.57012202256155
5,June,67.27317951962688,October,68.04678172567
6,July,68.4418009287942,November,66.44168727975043
7,August,68.95870840904597,December,64.49698706520549
8,September,68.57012202256155,January,63.47679056138606
9,October,68.04678172567,February,62.990928052728236
10,November,66.44168727975043,March,63.56969973628467
11,December,64.49698706520549,April,64.59573228120918
