oldMonth,RF_in,Month,RF
January,5.493753214403224,May,3.6426402604908925
February,6.548184524659664,June,2.1478147643552523
March,8.193353143443014,July,3.27396712440149
April,6.839304637920805,August,5.657027130008569
May,3.6426402604908925,September,3.2153252623280184
June,2.1478147643552523,October,4.487848721482748
July,3.27396712440149,November,7.323359883061526
August,5.657027130008569,December,7.929988176180524
September,3.2153252623280184,January,5.493753214403224
October,4.487848721482748,February,6.548184524659664
November,7.323359883061526,March,8.193353143443014
December,7.929988176180524,April,6.839304637920805
