oldMonth,RF_in,Month,RF
January,8.539817848326553,May,3.32622015016913
February,5.055069959647485,June,1.3746940783807184
March,5.951511473174531,July,1.6538183284762957
April,4.707688177709936,August,2.1359245089845156
May,3.32622015016913,September,2.798558016186373
June,1.3746940783807184,October,3.760952184054803
July,1.6538183284762957,November,5.370453754667703
August,2.1359245089845156,December,7.146923044804056
September,2.798558016186373,January,8.539817848326553
October,3.760952184054803,February,5.055069959647485
November,5.370453754667703,March,5.951511473174531
December,7.146923044804056,April,4.707688177709936
