,oldMonth,OldTemp,Month,Temp
0,January,68.08185241539839,April,69.61202973528633
1,February,67.75911795783549,May,71.12746853479021
2,March,68.27929667663652,June,72.81021212860807
3,April,69.61202973528633,July,73.78862838141157
4,May,71.12746853479021,August,74.44697494733434
5,June,72.81021212860807,September,74.17643733268291
6,July,73.78862838141157,October,73.3922799416267
7,August,74.44697494733434,November,71.56277887521362
8,September,74.17643733268291,December,69.50562485084406
9,October,73.3922799416267,January,68.08185241539839
10,November,71.56277887521362,February,67.75911795783549
11,December,69.50562485084406,March,68.27929667663652
