oldMonth,oldNDVI,Month,NDVI
January,0.6915757233419536,November,0.7153478325737848
February,0.685841921582634,December,0.7069886186387804
March,0.6421469455295139,January,0.6915757233419536
April,0.6969246642428811,February,0.685841921582634
May,0.698716570282707,March,0.6421469455295139
June,0.7084951355473155,April,0.6969246642428811
July,0.6730585433365839,May,0.698716570282707
August,0.6483595649740975,June,0.7084951355473155
September,0.6322930508982195,July,0.6730585433365839
October,0.6918859527095205,August,0.6483595649740975
November,0.7153478325737848,September,0.6322930508982195
December,0.7069886186387804,October,0.6918859527095205
