,Year,Month,NDVI,datetime
105,2008.0,11.0,0.8285728395061729,2008-11-01
106,2008.0,12.0,0.8553987654320988,2008-12-01
107,2009.0,1.0,0.8563123456790125,2009-01-01
108,2009.0,2.0,0.8227320987654323,2009-02-01
109,2009.0,3.0,0.8313296296296296,2009-03-01
110,2009.0,4.0,0.7895956790123457,2009-04-01
111,2009.0,5.0,0.7927141975308643,2009-05-01
112,2009.0,6.0,0.7851037037037039,2009-06-01
113,2009.0,7.0,0.705379012345679,2009-07-01
114,2009.0,8.0,0.7642740740740741,2009-08-01
115,2009.0,9.0,0.6989197530864198,2009-09-01
116,2009.0,10.0,0.7912864197530866,2009-10-01
117,2009.0,11.0,0.81377037037037,2009-11-01
118,2009.0,12.0,0.8002734567901235,2009-12-01
119,2010.0,1.0,0.7371549382716049,2010-01-01
120,2010.0,2.0,0.6889308641975308,2010-02-01
121,2010.0,3.0,0.7164141975308642,2010-03-01
122,2010.0,4.0,0.6803098765432098,2010-04-01
123,2010.0,5.0,0.685733950617284,2010-05-01
124,2010.0,6.0,0.6361388888888888,2010-06-01
125,2010.0,7.0,0.5709722222222223,2010-07-01
126,2010.0,8.0,0.5240413580246913,2010-08-01
127,2010.0,9.0,0.5040197530864198,2010-09-01
128,2010.0,10.0,0.5764358024691357,2010-10-01
129,2010.0,11.0,0.7332500000000001,2010-11-01
130,2010.0,12.0,0.8453018518518518,2010-12-01
131,2011.0,1.0,0.8498413580246913,2011-01-01
132,2011.0,2.0,0.836283950617284,2011-02-01
133,2011.0,3.0,0.8285265432098764,2011-03-01
134,2011.0,4.0,0.797983950617284,2011-04-01
135,2011.0,5.0,0.7845055555555557,2011-05-01
136,2011.0,6.0,0.7591753086419755,2011-06-01
137,2011.0,7.0,0.6184969135802469,2011-07-01
138,2011.0,8.0,0.5522123456790123,2011-08-01
139,2011.0,9.0,0.5515160493827161,2011-09-01
140,2011.0,10.0,0.6780086419753087,2011-10-01
141,2011.0,11.0,0.7714277777777778,2011-11-01
142,2011.0,12.0,0.8387283950617286,2011-12-01
143,2012.0,1.0,0.8160932098765433,2012-01-01
144,2012.0,2.0,0.7676870370370371,2012-02-01
145,2012.0,3.0,0.8282487654320989,2012-03-01
146,2012.0,4.0,0.8024092592592593,2012-04-01
147,2012.0,5.0,0.7427462962962963,2012-05-01
148,2012.0,6.0,0.7189265432098766,2012-06-01
149,2012.0,7.0,0.6744820987654321,2012-07-01
150,2012.0,8.0,0.6023345679012346,2012-08-01
151,2012.0,9.0,0.753067901234568,2012-09-01
152,2012.0,10.0,0.7890987654320988,2012-10-01
153,2012.0,11.0,0.6856580246913581,2012-11-01
154,2012.0,12.0,0.7946456790123456,2012-12-01
155,2013.0,1.0,0.8232413580246912,2013-01-01
156,2013.0,2.0,0.8167864197530864,2013-02-01
157,2013.0,3.0,0.7687012345679013,2013-03-01
158,2013.0,4.0,0.789333950617284,2013-04-01
159,2013.0,5.0,0.7553061728395063,2013-05-01
160,2013.0,6.0,0.7334975308641977,2013-06-01
161,2013.0,7.0,0.7151339506172841,2013-07-01
162,2013.0,8.0,0.770166049382716,2013-08-01
163,2013.0,9.0,0.7140271604938273,2013-09-01
164,2013.0,10.0,0.7094802469135802,2013-10-01
165,2013.0,11.0,0.7247777777777777,2013-11-01
166,2013.0,12.0,0.7631148148148149,2013-12-01
167,2014.0,1.0,0.7962537037037037,2014-01-01
168,2014.0,2.0,0.8498580246913582,2014-02-01
169,2014.0,3.0,0.8177586419753088,2014-03-01
170,2014.0,4.0,0.7795456790123458,2014-04-01
171,2014.0,5.0,0.7615117283950618,2014-05-01
172,2014.0,6.0,0.710141975308642,2014-06-01
173,2014.0,7.0,0.6823080246913581,2014-07-01
174,2014.0,8.0,0.7498617283950617,2014-08-01
175,2014.0,9.0,0.6340604938271606,2014-09-01
176,2014.0,10.0,0.789204938271605,2014-10-01
177,2014.0,11.0,0.8374944444444447,2014-11-01
178,2014.0,12.0,0.8056777777777778,2014-12-01
179,2015.0,1.0,0.7914283950617284,2015-01-01
180,2015.0,2.0,0.7874777777777778,2015-02-01
181,2015.0,3.0,0.7537679012345679,2015-03-01
182,2015.0,4.0,0.758738888888889,2015-04-01
183,2015.0,5.0,0.7459697530864198,2015-05-01
184,2015.0,6.0,0.6112141975308641,2015-06-01
185,2015.0,7.0,0.6615024691358025,2015-07-01
186,2015.0,8.0,0.7986648148148149,2015-08-01
187,2015.0,9.0,0.8707506172839506,2015-09-01
188,2015.0,10.0,0.8370592592592594,2015-10-01
189,2015.0,11.0,0.8464901234567902,2015-11-01
190,2015.0,12.0,0.8653425925925927,2015-12-01
191,2016.0,1.0,0.8498660493827161,2016-01-01
192,2016.0,2.0,0.7588364197530865,2016-02-01
