,Year,Month,ET,datetime
0,2001.0,1.0,1.9529687500000008,2001-01-01
1,2001.0,2.0,2.14875,2001-02-01
2,2001.0,3.0,1.8909375,2001-03-01
3,2001.0,4.0,1.7270833333333335,2001-04-01
4,2001.0,5.0,2.19375,2001-05-01
5,2001.0,6.0,1.596875,2001-06-01
6,2001.0,7.0,2.465989583333333,2001-07-01
7,2001.0,8.0,2.2896875,2001-08-01
8,2001.0,9.0,1.8740625,2001-09-01
9,2001.0,10.0,2.454270833333333,2001-10-01
10,2001.0,11.0,1.98734375,2001-11-01
11,2001.0,12.0,1.9236979166666672,2001-12-01
12,2002.0,1.0,2.1998958333333336,2002-01-01
13,2002.0,2.0,2.406458333333334,2002-02-01
14,2002.0,3.0,3.05765625,2002-03-01
15,2002.0,4.0,3.3780208333333333,2002-04-01
16,2002.0,5.0,2.058680555555556,2002-05-01
17,2002.0,6.0,2.132565789473684,2002-06-01
18,2002.0,7.0,2.1366666666666663,2002-07-01
19,2002.0,8.0,2.5246875000000006,2002-08-01
20,2002.0,9.0,2.2008333333333336,2002-09-01
21,2002.0,10.0,2.40625,2002-10-01
22,2002.0,11.0,2.2263020833333336,2002-11-01
23,2002.0,12.0,1.8590625000000005,2002-12-01
24,2003.0,1.0,1.9796354166666668,2003-01-01
25,2003.0,2.0,1.9224479166666668,2003-02-01
26,2003.0,3.0,2.2221875,2003-03-01
27,2003.0,4.0,1.73125,2003-04-01
28,2003.0,5.0,2.072291666666667,2003-05-01
29,2003.0,6.0,2.253125,2003-06-01
30,2003.0,7.0,2.4271354166666668,2003-07-01
31,2003.0,8.0,1.946875,2003-08-01
32,2003.0,9.0,3.0540625,2003-09-01
33,2003.0,10.0,2.58625,2003-10-01
34,2003.0,11.0,2.240260416666666,2003-11-01
35,2003.0,12.0,1.979739583333333,2003-12-01
36,2004.0,1.0,2.18265625,2004-01-01
37,2004.0,2.0,2.7771875,2004-02-01
38,2004.0,3.0,2.5635416666666666,2004-03-01
39,2004.0,4.0,2.485937500000001,2004-04-01
40,2004.0,5.0,2.9868749999999995,2004-05-01
41,2004.0,6.0,2.54375,2004-06-01
42,2004.0,7.0,2.680625,2004-07-01
43,2004.0,8.0,2.622916666666667,2004-08-01
44,2004.0,9.0,2.2299479166666663,2004-09-01
45,2004.0,10.0,3.023854166666667,2004-10-01
46,2004.0,11.0,2.5694791666666665,2004-11-01
47,2004.0,12.0,2.1615625,2004-12-01
48,2005.0,1.0,2.387604166666667,2005-01-01
49,2005.0,2.0,2.3178125,2005-02-01
50,2005.0,3.0,2.875364583333333,2005-03-01
51,2005.0,4.0,2.0615625,2005-04-01
52,2005.0,5.0,2.4346875,2005-05-01
53,2005.0,6.0,1.818359375,2005-06-01
54,2005.0,7.0,2.862708333333334,2005-07-01
55,2005.0,8.0,2.755677083333333,2005-08-01
56,2005.0,9.0,2.096979166666667,2005-09-01
57,2005.0,10.0,2.616041666666667,2005-10-01
58,2005.0,11.0,2.378645833333334,2005-11-01
59,2005.0,12.0,1.7856770833333333,2005-12-01
60,2006.0,1.0,1.986927083333334,2006-01-01
61,2006.0,2.0,2.1748958333333333,2006-02-01
62,2006.0,3.0,1.8297149122807017,2006-03-01
63,2006.0,4.0,1.8965625000000004,2006-04-01
64,2006.0,5.0,2.832395833333334,2006-05-01
65,2006.0,6.0,1.939814814814815,2006-06-01
66,2006.0,7.0,3.05109375,2006-07-01
67,2006.0,8.0,2.6803645833333336,2006-08-01
68,2006.0,9.0,1.9767708333333336,2006-09-01
69,2006.0,10.0,2.861770833333334,2006-10-01
70,2006.0,11.0,2.4642708333333334,2006-11-01
71,2006.0,12.0,1.965833333333333,2006-12-01
72,2007.0,1.0,2.253177083333333,2007-01-01
73,2007.0,2.0,2.380572916666667,2007-02-01
74,2007.0,3.0,2.4747395833333337,2007-03-01
75,2007.0,4.0,1.8413541666666664,2007-04-01
76,2007.0,5.0,1.676785714285714,2007-05-01
77,2007.0,6.0,1.9489583333333336,2007-06-01
78,2007.0,7.0,2.4210937500000003,2007-07-01
79,2007.0,8.0,2.77125,2007-08-01
80,2007.0,9.0,2.521666666666667,2007-09-01
81,2007.0,10.0,2.2459375,2007-10-01
82,2007.0,11.0,1.9659895833333336,2007-11-01
83,2007.0,12.0,1.8259375,2007-12-01
84,2008.0,1.0,2.3135937500000003,2008-01-01
85,2008.0,2.0,2.578958333333333,2008-02-01
86,2008.0,3.0,2.761184210526316,2008-03-01
87,2008.0,4.0,2.074431818181818,2008-04-01
88,2008.0,5.0,,2008-05-01
89,2008.0,6.0,2.1934375,2008-06-01
90,2008.0,7.0,2.0943750000000003,2008-07-01
91,2008.0,8.0,2.3242708333333337,2008-08-01
92,2008.0,9.0,2.434375,2008-09-01
93,2008.0,10.0,1.9927083333333333,2008-10-01
94,2008.0,11.0,1.7555921052631576,2008-11-01
95,2008.0,12.0,2.0053125,2008-12-01
96,2009.0,1.0,2.5367187500000004,2009-01-01
97,2009.0,2.0,1.9108333333333327,2009-02-01
98,2009.0,3.0,2.2350000000000003,2009-03-01
99,2009.0,4.0,3.0984375,2009-04-01
100,2009.0,5.0,2.421875,2009-05-01
101,2009.0,6.0,2.4596153846153848,2009-06-01
102,2009.0,7.0,2.8604166666666666,2009-07-01
103,2009.0,8.0,2.5894270833333337,2009-08-01
104,2009.0,9.0,3.0081250000000006,2009-09-01
105,2009.0,10.0,3.083020833333334,2009-10-01
106,2009.0,11.0,2.2471875,2009-11-01
107,2009.0,12.0,1.92953125,2009-12-01
108,2010.0,1.0,1.98875,2010-01-01
109,2010.0,2.0,2.3628125,2010-02-01
110,2010.0,3.0,2.25203125,2010-03-01
111,2010.0,4.0,1.814375,2010-04-01
112,2010.0,5.0,1.7696875000000003,2010-05-01
113,2010.0,6.0,1.9095833333333327,2010-06-01
114,2010.0,7.0,2.51375,2010-07-01
115,2010.0,8.0,2.1992708333333333,2010-08-01
116,2010.0,9.0,1.7053125000000002,2010-09-01
117,2010.0,10.0,2.42125,2010-10-01
118,2010.0,11.0,2.0827604166666664,2010-11-01
119,2010.0,12.0,1.8834895833333336,2010-12-01
120,2011.0,1.0,2.1705208333333337,2011-01-01
121,2011.0,2.0,2.6523958333333337,2011-02-01
122,2011.0,3.0,1.658229166666667,2011-03-01
123,2011.0,4.0,2.254779411764705,2011-04-01
124,2011.0,5.0,2.128846153846154,2011-05-01
125,2011.0,6.0,2.3348958333333334,2011-06-01
126,2011.0,7.0,1.9741666666666664,2011-07-01
127,2011.0,8.0,2.0521875,2011-08-01
128,2011.0,9.0,2.0082236842105265,2011-09-01
129,2011.0,10.0,1.740625,2011-10-01
130,2011.0,11.0,2.3471874999999995,2011-11-01
131,2011.0,12.0,1.91703125,2011-12-01
132,2012.0,1.0,2.1673958333333334,2012-01-01
133,2012.0,2.0,2.285,2012-02-01
134,2012.0,3.0,2.2611458333333334,2012-03-01
135,2012.0,4.0,2.4425000000000003,2012-04-01
136,2012.0,5.0,1.9556818181818183,2012-05-01
137,2012.0,6.0,1.90375,2012-06-01
138,2012.0,7.0,2.535989583333333,2012-07-01
139,2012.0,8.0,2.267395833333334,2012-08-01
140,2012.0,9.0,2.276666666666667,2012-09-01
141,2012.0,10.0,2.361666666666667,2012-10-01
142,2012.0,11.0,1.8934375000000003,2012-11-01
143,2012.0,12.0,2.0247916666666663,2012-12-01
144,2013.0,1.0,2.1542187500000005,2013-01-01
145,2013.0,2.0,2.0145833333333334,2013-02-01
146,2013.0,3.0,2.7489583333333334,2013-03-01
147,2013.0,4.0,2.6637500000000003,2013-04-01
148,2013.0,5.0,2.1947368421052635,2013-05-01
149,2013.0,6.0,2.1874479166666667,2013-06-01
150,2013.0,7.0,2.402708333333333,2013-07-01
151,2013.0,8.0,2.621875,2013-08-01
152,2013.0,9.0,2.058101851851852,2013-09-01
153,2013.0,10.0,2.4889583333333336,2013-10-01
154,2013.0,11.0,1.9749479166666668,2013-11-01
155,2013.0,12.0,1.997135416666667,2013-12-01
156,2014.0,1.0,2.191979166666667,2014-01-01
157,2014.0,2.0,2.6709895833333333,2014-02-01
158,2014.0,3.0,2.73578125,2014-03-01
159,2014.0,4.0,2.7321875,2014-04-01
160,2014.0,5.0,2.541666666666667,2014-05-01
161,2014.0,6.0,2.3590625,2014-06-01
162,2014.0,7.0,3.1802083333333333,2014-07-01
163,2014.0,8.0,3.1602083333333337,2014-08-01
164,2014.0,9.0,1.9895833333333333,2014-09-01
165,2014.0,10.0,2.2641666666666667,2014-10-01
166,2014.0,11.0,2.57015625,2014-11-01
167,2014.0,12.0,1.9025520833333336,2014-12-01
168,2015.0,1.0,2.0871354166666665,2015-01-01
169,2015.0,2.0,2.3080729166666667,2015-02-01
170,2015.0,3.0,2.8814583333333337,2015-03-01
171,2015.0,4.0,2.1950000000000003,2015-04-01
172,2015.0,5.0,2.1711458333333336,2015-05-01
173,2015.0,6.0,2.4962500000000003,2015-06-01
174,2015.0,7.0,3.6238541666666655,2015-07-01
175,2015.0,8.0,2.2847916666666666,2015-08-01
176,2015.0,9.0,2.4052884615384618,2015-09-01
177,2015.0,10.0,3.2567708333333343,2015-10-01
178,2015.0,11.0,2.642864583333333,2015-11-01
179,2015.0,12.0,2.0705208333333336,2015-12-01
180,2016.0,1.0,2.2860416666666667,2016-01-01
181,2016.0,2.0,2.550625,2016-02-01
182,2016.0,3.0,2.6446875000000003,2016-03-01
183,2016.0,4.0,2.1396929824561406,2016-04-01
184,2016.0,5.0,2.280555555555555,2016-05-01
185,2016.0,6.0,2.9152083333333336,2016-06-01
186,2016.0,7.0,2.3421875,2016-07-01
187,2016.0,8.0,2.225729166666667,2016-08-01
188,2016.0,9.0,2.498802083333333,2016-09-01
189,2016.0,10.0,1.928125,2016-10-01
190,2016.0,11.0,1.971875,2016-11-01
191,2016.0,12.0,1.927291666666667,2016-12-01
192,2017.0,1.0,2.131875,2017-01-01
193,2017.0,2.0,2.3270833333333334,2017-02-01
194,2017.0,3.0,2.1776562500000005,2017-03-01
195,2017.0,4.0,2.0113281250000004,2017-04-01
196,2017.0,5.0,2.076041666666667,2017-05-01
197,2017.0,6.0,1.891826923076923,2017-06-01
198,2017.0,7.0,2.29703125,2017-07-01
199,2017.0,8.0,2.756875,2017-08-01
200,2017.0,9.0,2.545208333333333,2017-09-01
201,2017.0,10.0,2.435729166666667,2017-10-01
202,2017.0,11.0,2.3143750000000005,2017-11-01
203,2017.0,12.0,1.65125,2017-12-01
204,2018.0,1.0,2.04078125,2018-01-01
205,2018.0,2.0,2.2261979166666666,2018-02-01
206,2018.0,3.0,2.772708333333333,2018-03-01
207,2018.0,4.0,2.095,2018-04-01
208,2018.0,5.0,2.2602941176470592,2018-05-01
209,2018.0,6.0,2.381030701754386,2018-06-01
210,2018.0,7.0,2.3275767543859645,2018-07-01
211,2018.0,8.0,2.622291666666667,2018-08-01
212,2018.0,9.0,3.6037499999999993,2018-09-01
213,2018.0,10.0,2.242434210526316,2018-10-01
214,2018.0,11.0,2.571041666666667,2018-11-01
215,2018.0,12.0,2.1396875,2018-12-01
216,2019.0,1.0,2.274739583333333,2019-01-01
217,2019.0,2.0,2.4113020833333336,2019-02-01
218,2019.0,3.0,3.027604166666667,2019-03-01
219,2019.0,4.0,2.3013157894736844,2019-04-01
220,2019.0,5.0,3.332604166666666,2019-05-01
