oldMonth,RF_in,Month,RF
January,2.820368169476824,May,3.7082354964108255
February,2.353311091543052,June,2.9223533926235064
March,3.7739407001120098,July,3.323148612261218
April,3.2462247665171455,August,3.3099052396328554
May,3.7082354964108255,September,3.004368806883618
June,2.9223533926235064,October,2.7238365875014483
July,3.323148612261218,November,2.0443172200172484
August,3.3099052396328554,December,2.238724612626635
September,3.004368806883618,January,2.820368169476824
October,2.7238365875014483,February,2.353311091543052
November,2.0443172200172484,March,3.7739407001120098
December,2.238724612626635,April,3.2462247665171455
