oldMonth,oldNDVI,Month,NDVI
January,0.5748442423343658,November,0.525942474603653
February,0.4614251923561096,December,0.5587366449832917
March,0.44172733068466186,January,0.5748442423343658
April,0.37175162996237093,February,0.4614251923561096
May,0.3619409753726079,March,0.44172733068466186
June,0.3659374839984454,April,0.37175162996237093
July,0.4157009995900668,May,0.3619409753726079
August,0.4207855503146465,June,0.3659374839984454
September,0.4248777272609564,July,0.4157009995900668
October,0.48426589140525234,August,0.4207855503146465
November,0.525942474603653,September,0.4248777272609564
December,0.5587366449832917,October,0.48426589140525234
