oldMonth,RF_in,Month,RF
January,3.5366284977092293,May,6.032045659542864
February,3.075174452041069,June,5.828963585619657
March,5.173462450096383,July,5.368359816090312
April,4.515970428571224,August,4.6727591775144095
May,6.032045659542864,September,5.168483815174049
June,5.828963585619657,October,4.664307454598993
July,5.368359816090312,November,2.7652464262214673
August,4.6727591775144095,December,2.795770074793071
September,5.168483815174049,January,3.5366284977092293
October,4.664307454598993,February,3.075174452041069
November,2.7652464262214673,March,5.173462450096383
December,2.795770074793071,April,4.515970428571224
