,Month,MRF,Phase,Count,MeRF,MnRF,MeAnom,MnAnom,MT,MeT,MnT
0,1,3.4195801578662826,SEL,11,1.6975911097093066,0.0772937170163853,-1.721989048156976,-3.342286440849897,61.3572351045139,61.65969947818653,59.20003185272217
1,1,3.4195801578662826,WEL,15,3.9128624485546526,0.2003315490061842,0.49328229068837004,-3.2192486088600982,61.3572351045139,61.768529551546024,60.95101848892393
2,1,3.4195801578662826,NUT,20,3.679449434355488,0.5720446428914708,0.25986927648920544,-2.847535514974812,61.3572351045139,60.59169361930117,58.61038703918457
3,1,3.4195801578662826,WLA,20,3.091369703998716,0.3365735181673305,-0.32821045386756653,-3.083006639698952,61.3572351045139,61.912791522485755,59.94520984886692
4,1,3.4195801578662826,SLA,10,4.7105270295631225,0.7803458867110605,1.29094687169684,-2.639234271155222,61.3572351045139,60.12380307162671,59.16152930400754
5,2,2.9386708360216303,SEL,10,0.8876870175984901,0.1401594961722066,-2.0509838184231404,-2.7985113398494237,60.78607182244563,60.44280159033517,59.45714111328125
6,2,2.9386708360216303,WEL,9,2.7074463578138244,0.9531946257343444,-0.2312244782078059,-1.9854762102872858,60.78607182244563,60.206206934326865,59.688401603698736
7,2,2.9386708360216303,NUT,29,3.408249559332552,0.4461987563005583,0.46957872331092165,-2.4924720797210718,60.78607182244563,60.84144063509563,58.010663986206055
8,2,2.9386708360216303,WLA,20,3.4292394945940643,0.6486980558380367,0.49056865857243404,-2.2899727801835934,60.78607182244563,60.951468860161135,59.28947024438447
9,2,2.9386708360216303,SLA,8,2.833883628601164,0.2545140296455443,-0.1047872074204661,-2.684156806376086,60.78607182244563,61.01526778384274,59.08648811312047
10,3,4.566264849108283,SEL,8,2.8541273394907556,0.7863794161578802,-1.712137509617527,-3.7798854329504024,61.27152416828619,61.126860466454296,60.23756351470948
11,3,4.566264849108283,WEL,5,4.811822245440146,2.985554492379737,0.24555739633186313,-1.5807103567285457,61.27152416828619,61.035983130443334,60.20945382060543
12,3,4.566264849108283,NUT,39,5.06071807542474,0.3436832728348379,0.49445322631645716,-4.222581576273445,61.27152416828619,61.30971403103202,59.31435146331788
13,3,4.566264849108283,WLA,20,4.513412010012649,1.0484805069570466,-0.05285283909563354,-3.517784342151236,61.27152416828619,61.23573727368008,59.08808707628742
14,3,4.566264849108283,SLA,3,3.2386436362279056,2.3190857294037586,-1.327621212880377,-2.247179119704524,61.27152416828619,61.630864021185104,61.630864021185104
15,4,4.171388878409318,SEL,2,4.008207996999185,1.9808584498608208,-0.16318088141013298,-2.190530428548497,62.325149188986416,60.69400768280029,60.69400768280029
16,4,4.171388878409318,WEL,12,3.5178959088062682,1.5210620249350242,-0.6534929696030498,-2.6503268534742936,62.325149188986416,62.557936453356206,58.81510353088379
17,4,4.171388878409318,NUT,43,4.169495491247171,0.8102511608694483,-0.001893387162146709,-3.3611377175398696,62.325149188986416,62.23797046980353,60.00716133117676
18,4,4.171388878409318,WLA,16,4.466114128668477,1.2841643686369648,0.29472525025915886,-2.887224509772353,62.325149188986416,62.38330380477052,61.247215590318355
19,4,4.171388878409318,SLA,2,5.938433399350624,2.4997371763694947,1.7670445209413064,-1.6716517020398234,62.325149188986416,64.04139251708985,64.04139251708985
