,Month,tmean_f
421,February,72.48730197482638
422,March,74.099853515625
423,April,75.21066623263889
424,May,76.11814778645834
425,June,77.40748155381945
426,July,78.18673502604167
427,August,78.84716796875
428,September,78.9739963107639
429,October,78.19139539930555
430,November,75.793408203125
431,December,74.62955729166667
432,January,72.84838595920138
