oldMonth,RF_in,Month,RF
January,4.862617272834292,May,2.217832998500013
February,3.7427819120737076,June,1.3969123131268841
March,4.671057323966793,July,2.2213481821627172
April,3.6921682230849155,August,2.096919702177947
May,2.217832998500013,September,1.4690808179499812
June,1.3969123131268841,October,2.5133993963360184
July,2.2213481821627172,November,3.9407883972651474
August,2.096919702177947,December,4.717087416968607
September,1.4690808179499812,January,4.862617272834292
October,2.5133993963360184,February,3.7427819120737076
November,3.9407883972651474,March,4.671057323966793
December,4.717087416968607,April,3.6921682230849155
