Year,Month,tmean_f,datetime
1999.0,9.0,76.94903428819444,1999-09-01
1999.0,10.0,75.71175672743055,1999-10-01
1999.0,11.0,74.37592502170139,1999-11-01
1999.0,12.0,72.423583984375,1999-12-01
2000.0,1.0,70.17655707465278,2000-01-01
2000.0,2.0,71.38352322048611,2000-02-01
2000.0,3.0,72.83275824652779,2000-03-01
2000.0,4.0,72.16199815538195,2000-04-01
2000.0,5.0,74.14136284722223,2000-05-01
2000.0,6.0,76.38592664930556,2000-06-01
2000.0,7.0,77.486376953125,2000-07-01
2000.0,8.0,77.6865234375,2000-08-01
2000.0,9.0,76.99918891059028,2000-09-01
2000.0,10.0,77.18566080729167,2000-10-01
2000.0,11.0,74.96859266493055,2000-11-01
2000.0,12.0,73.18136393229167,2000-12-01
2001.0,1.0,72.66673719618055,2001-01-01
2001.0,2.0,72.25896809895833,2001-02-01
2001.0,3.0,72.46193576388889,2001-03-01
2001.0,4.0,73.43488769531251,2001-04-01
2001.0,5.0,73.96881781684027,2001-05-01
2001.0,6.0,75.68325737847222,2001-06-01
2001.0,7.0,77.37455512152778,2001-07-01
2001.0,8.0,78.04093424479167,2001-08-01
2001.0,9.0,77.97458767361111,2001-09-01
2001.0,10.0,77.09412434895833,2001-10-01
2001.0,11.0,75.23385416666667,2001-11-01
2001.0,12.0,73.8830810546875,2001-12-01
2002.0,1.0,72.13354763454862,2002-01-01
2002.0,2.0,70.51975911458334,2002-02-01
2002.0,3.0,71.9317599826389,2002-03-01
2002.0,4.0,73.97636990017361,2002-04-01
2002.0,5.0,75.15254448784722,2002-05-01
2002.0,6.0,76.41770290798611,2002-06-01
2002.0,7.0,76.55469563802083,2002-07-01
2002.0,8.0,78.45118272569445,2002-08-01
2002.0,9.0,77.93244357638889,2002-09-01
2002.0,10.0,77.10157877604166,2002-10-01
2002.0,11.0,74.74851888020834,2002-11-01
2002.0,12.0,73.11419270833333,2002-12-01
2003.0,1.0,71.48960503472222,2003-01-01
2003.0,2.0,71.09127061631945,2003-02-01
2003.0,3.0,73.2930447048611,2003-03-01
2003.0,4.0,73.86978081597223,2003-04-01
2003.0,5.0,75.18250868055556,2003-05-01
2003.0,6.0,76.80592719184028,2003-06-01
2003.0,7.0,77.94666883680556,2003-07-01
2003.0,8.0,78.80014105902778,2003-08-01
2003.0,9.0,78.33822699652778,2003-09-01
2003.0,10.0,78.36394314236111,2003-10-01
2003.0,11.0,75.85570203993055,2003-11-01
2003.0,12.0,73.42100151909722,2003-12-01
2004.0,1.0,72.15118543836806,2004-01-01
2004.0,2.0,73.69203016493056,2004-02-01
2004.0,3.0,72.20050184461806,2004-03-01
2004.0,4.0,73.79644639756944,2004-04-01
2004.0,5.0,75.8585666232639,2004-05-01
2004.0,6.0,76.97459309895834,2004-06-01
2004.0,7.0,78.21017795138889,2004-07-01
