oldMonth,oldNDVI,Month,NDVI
January,0.6570399399745611,November,0.5804070140697338
February,0.649154972029321,December,0.6255105289412133
March,0.6305776016800492,January,0.6570399399745611
April,0.5997229863209376,February,0.649154972029321
May,0.608420692617737,March,0.6305776016800492
June,0.5615437046641525,April,0.5997229863209376
July,0.5134545232948527,May,0.608420692617737
August,0.5054046571084917,June,0.5615437046641525
September,0.5126871116254178,July,0.5134545232948527
October,0.5331047117879927,August,0.5054046571084917
November,0.5804070140697338,September,0.5126871116254178
December,0.6255105289412133,October,0.5331047117879927
