oldMonth,RF_in,Month,RF
January,5.826544719623436,May,3.169799426415982
February,4.564419832582412,June,2.7991100547146255
March,5.52015342377653,July,3.375986606230131
April,4.683682035159412,August,3.1015138848892194
May,3.169799426415982,September,2.9675685645148127
June,2.7991100547146255,October,4.160937677907398
July,3.375986606230131,November,5.382137394824084
August,3.1015138848892194,December,6.480820715919466
September,2.9675685645148127,January,5.826544719623436
October,4.160937677907398,February,4.564419832582412
November,5.382137394824084,March,5.52015342377653
December,6.480820715919466,April,4.683682035159412
