oldMonth,oldNDVI,Month,NDVI
January,0.6097492283950617,November,0.592397508032528
February,0.5887758080753279,December,0.5854792983443649
March,0.557292987211251,January,0.6097492283950617
April,0.5504049915194172,February,0.5887758080753279
May,0.5945663624226424,March,0.557292987211251
June,0.5584653291041128,April,0.5504049915194172
July,0.5425840433959381,May,0.5945663624226424
August,0.5563883061422582,June,0.5584653291041128
September,0.5924561709759921,July,0.5425840433959381
October,0.5826953460461507,August,0.5563883061422582
November,0.592397508032528,September,0.5924561709759921
December,0.5854792983443649,October,0.5826953460461507
