oldMonth,oldNDVI,Month,NDVI
January,0.6972726666485822,November,0.5740962935082706
February,0.5999978185583044,December,0.6911948649088542
March,0.4592945984263479,January,0.6972726666485822
April,0.3288948587995422,February,0.5999978185583044
May,0.32829477304746624,March,0.4592945984263479
June,0.3375874616255221,April,0.3288948587995422
July,0.4080266372883535,May,0.32829477304746624
August,0.36229345760001297,June,0.3375874616255221
September,0.3501538315616329,July,0.4080266372883535
October,0.42525534163399864,August,0.36229345760001297
November,0.5740962935082706,September,0.3501538315616329
December,0.6911948649088542,October,0.42525534163399864
