,Month,Temp,datetime,Year
0,1.0,54.52062852647569,1990-01-01,
1,2.0,50.57780897352431,1990-02-01,
2,3.0,54.027349175347226,1990-03-01,
3,4.0,56.26457248263889,1990-04-01,
4,5.0,55.26527235243056,1990-05-01,
5,6.0,58.72716471354167,1990-06-01,
6,7.0,58.31027018229167,1990-07-01,
7,8.0,59.68759223090278,1990-08-01,
8,9.0,59.12855902777778,1990-09-01,
9,10.0,57.40367024739584,1990-10-01,
10,11.0,57.61335177951389,1990-11-01,
11,12.0,53.80679389105903,1990-12-01,
12,1.0,54.15985243055556,1991-01-01,
13,2.0,54.07092692057292,1991-02-01,
14,3.0,51.91844889322917,1991-03-01,
15,4.0,54.57178683810764,1991-04-01,
16,5.0,55.39514431423611,1991-05-01,
17,6.0,55.96624348958333,1991-06-01,
18,7.0,58.90264214409722,1991-07-01,
19,8.0,60.40589735243056,1991-08-01,
20,9.0,59.17581651475695,1991-09-01,
21,10.0,58.01321343315972,1991-10-01,
22,11.0,59.30846625434028,1991-11-01,
23,12.0,55.10573459201389,1991-12-01,
24,1.0,53.77198621961806,1992-01-01,
25,2.0,53.47545166015625,1992-02-01,
26,3.0,53.50502522786458,1992-03-01,
27,4.0,53.64998779296875,1992-04-01,
28,5.0,56.127170138888886,1992-05-01,
29,6.0,56.66065538194445,1992-06-01,
30,7.0,57.092578125,1992-07-01,
31,8.0,57.79767795138889,1992-08-01,
32,9.0,59.17548828125,1992-09-01,
33,10.0,58.41111653645834,1992-10-01,
34,11.0,56.90884331597222,1992-11-01,
35,12.0,55.42818467881945,1992-12-01,
36,1.0,51.43094889322917,1993-01-01,
37,2.0,51.60064697265625,1993-02-01,
38,3.0,52.02156032986111,1993-03-01,
39,4.0,54.12683512369792,1993-04-01,
40,5.0,54.175420464409726,1993-05-01,
41,6.0,56.25657280815973,1993-06-01,
42,7.0,57.13014865451389,1993-07-01,
43,8.0,59.10592447916667,1993-08-01,
44,9.0,58.69438747829861,1993-09-01,
45,10.0,56.75118815104167,1993-10-01,
46,11.0,54.18996310763889,1993-11-01,
47,12.0,54.46445719401042,1993-12-01,
48,1.0,52.20333794487847,1994-01-01,
49,2.0,53.82331271701389,1994-02-01,
50,3.0,51.80934787326389,1994-03-01,
51,4.0,53.21315104166666,1994-04-01,
52,5.0,55.04530978732639,1994-05-01,
53,6.0,56.18897840711806,1994-06-01,
54,7.0,60.78123643663194,1994-07-01,
55,8.0,59.615147569444446,1994-08-01,
56,9.0,59.44148763020833,1994-09-01,
57,10.0,57.18089463975694,1994-10-01,
58,11.0,55.2394287109375,1994-11-01,
59,12.0,53.82080349392361,1994-12-01,
60,1.0,56.31785481770834,1995-01-01,
61,2.0,53.28134494357639,1995-02-01,
62,3.0,54.75218370225694,1995-03-01,
63,4.0,53.98649631076389,1995-04-01,
64,5.0,55.94312608506944,1995-05-01,
65,6.0,58.1404296875,1995-06-01,
66,7.0,58.97195095486112,1995-07-01,
67,8.0,59.443109809027774,1995-08-01,
68,9.0,58.62906901041667,1995-09-01,
69,10.0,58.01797417534722,1995-10-01,
70,11.0,58.21764322916667,1995-11-01,
71,12.0,57.54175618489583,1995-12-01,
72,1.0,55.56819118923611,1996-01-01,
73,2.0,52.84144422743056,1996-02-01,
74,3.0,52.70926106770833,1996-03-01,
75,4.0,56.52821180555556,1996-04-01,
76,5.0,57.56685112847222,1996-05-01,
77,6.0,58.255883789062494,1996-06-01,
78,7.0,58.694422743055554,1996-07-01,
79,8.0,59.95720486111111,1996-08-01,
80,9.0,58.76236979166667,1996-09-01,
81,10.0,59.63853624131944,1996-10-01,
82,11.0,57.432373046875,1996-11-01,
83,12.0,54.33578287760417,1996-12-01,
84,1.0,55.21724175347222,1997-01-01,
85,2.0,53.198384602864586,1997-02-01,
86,3.0,54.07039659288195,1997-03-01,
87,4.0,54.37642008463541,1997-04-01,
88,5.0,54.78009440104167,1997-05-01,
89,6.0,56.89637044270833,1997-06-01,
90,7.0,59.47971462673611,1997-07-01,
91,8.0,59.19854600694444,1997-08-01,
92,9.0,57.56663682725694,1997-09-01,
93,10.0,56.454443359375006,1997-10-01,
94,11.0,55.75351019965278,1997-11-01,
95,12.0,51.14266764322917,1997-12-01,
96,1.0,54.76826171875,1998-01-01,
97,2.0,54.71872016059028,1998-02-01,
98,3.0,53.47025960286459,1998-03-01,
99,4.0,50.75364040798611,1998-04-01,
100,5.0,52.77665473090278,1998-05-01,
101,6.0,56.42608506944444,1998-06-01,
102,7.0,60.14377712673611,1998-07-01,
103,8.0,58.53015950520833,1998-08-01,
104,9.0,56.91767578125,1998-09-01,
105,10.0,58.092724609375,1998-10-01,
106,11.0,55.68407660590278,1998-11-01,
107,12.0,53.73640607023022,1998-12-01,
108,1.0,54.04880270249862,1999-01-01,
109,2.0,51.92321606325372,1999-02-01,
110,3.0,52.47034418807075,1999-03-01,
111,4.0,52.37773955650127,1999-04-01,
112,5.0,55.85783531118622,1999-05-01,
