oldMonth,RF_in,Month,RF
January,5.9841296312486385,May,1.9863835610884766
February,3.849866820311771,June,1.0755181038507644
March,4.498853188166385,July,1.5061663876902465
April,3.2376098806096145,August,2.1539488276933185
May,1.9863835610884766,September,2.0784293990176463
June,1.0755181038507644,October,2.2688672551366045
July,1.5061663876902465,November,3.0268658849863392
August,2.1539488276933185,December,4.75544745359057
September,2.0784293990176463,January,5.9841296312486385
October,2.2688672551366045,February,3.849866820311771
November,3.0268658849863392,March,4.498853188166385
December,4.75544745359057,April,3.2376098806096145
