,oldMonth,OldTemp,Month,Temp
0,January,54.321722325792024,April,54.315266925424716
1,February,53.32205576059495,May,56.06073139609256
2,March,53.39266646361873,June,57.72760571370515
3,April,54.315266925424716,July,59.03483131910328
4,May,56.06073139609256,August,59.539625516980024
5,June,57.72760571370515,September,58.2827275480359
6,July,59.03483131910328,October,58.08898064539851
7,August,59.539625516980024,November,56.754238658964944
8,September,58.2827275480359,December,55.11821613028902
9,October,58.08898064539851,January,54.321722325792024
10,November,56.754238658964944,February,53.32205576059495
11,December,55.11821613028902,March,53.39266646361873
