oldMonth,RF_in,Month,RF
January,6.085258562606012,May,2.93960105390426
February,4.774862226895844,June,2.5191735346808977
March,5.177254271573393,July,2.968648650324356
April,3.9889705316510504,August,3.108415718261718
May,2.93960105390426,September,2.8287471132431268
June,2.5191735346808977,October,4.019315543884973
July,2.968648650324356,November,4.904889802787506
August,3.108415718261718,December,6.285464945587097
September,2.8287471132431268,January,6.085258562606012
October,4.019315543884973,February,4.774862226895844
November,4.904889802787506,March,5.177254271573393
December,6.285464945587097,April,3.9889705316510504
