oldMonth,oldNDVI,Month,NDVI
January,0.6824371149510513,November,0.6879360943076052
February,0.6508143333152487,December,0.68280519273546
March,0.6486026095166619,January,0.6824371149510513
April,0.6385750113955477,February,0.6508143333152487
May,0.639609013527547,March,0.6486026095166619
June,0.6305449885180873,April,0.6385750113955477
July,0.624501598753028,May,0.639609013527547
August,0.6332029286499604,June,0.6305449885180873
September,0.6248927410737968,July,0.624501598753028
October,0.6651623627172689,August,0.6332029286499604
November,0.6879360943076052,September,0.6248927410737968
December,0.68280519273546,October,0.6651623627172689
