,oldMonth,OldTemp,Month,Temp
0,January,69.80210422700264,April,71.85591843441824
1,February,69.49749414013601,May,73.47585692276759
2,March,64.60102893368085,June,75.4626581112468
3,April,71.85591843441824,July,76.39296169167716
4,May,73.47585692276759,August,77.01017054998304
5,June,75.4626581112468,September,76.89774734879431
6,July,76.39296169167716,October,75.75658567632753
7,August,77.01017054998304,November,73.55685601387096
8,September,76.89774734879431,December,71.4011427097796
9,October,75.75658567632753,January,69.80210422700264
10,November,73.55685601387096,February,69.49749414013601
11,December,71.4011427097796,March,64.60102893368085
