oldMonth,RF_in,Month,RF
January,7.2910813655169795,March,9.86217852325751
February,7.212543805655417,April,9.150467478152418
March,9.86217852325751,May,5.083184361041196
April,9.150467478152418,June,3.0800598625123037
May,5.083184361041196,July,4.8953997361386685
June,3.0800598625123037,August,5.71734756650337
July,4.8953997361386685,September,3.340010940280595
August,5.71734756650337,October,4.965006942836256
September,3.340010940280595,November,7.844473440374624
October,4.965006942836256,December,8.648258847563037
November,7.844473440374624,January,7.2910813655169795
December,8.648258847563037,February,7.212543805655417
