,Month,MRF,Phase,Count,MeRF,MnRF,MeAnom,MnAnom,MT,MeT,MnT
0,1,7.2208713833470926,SEL,11,4.775045149089733,1.036245591371391,-2.4458262342573596,-6.1846257919757015,69.60946407441736,69.60946792975669,68.13583713107639
1,1,7.2208713833470926,WEL,15,7.917361356153587,0.2446114121158303,0.6964899728064946,-6.976259971231262,69.60946407441736,69.88532441353239,67.81257324218751
2,1,7.2208713833470926,NUT,20,10.00944568437124,0.6825384060472259,2.7885743010241475,-6.538332977299866,69.60946407441736,69.16341307097449,67.07544759114583
3,1,7.2208713833470926,WLA,19,4.8806141938734955,0.5140502846622255,-2.340257189473597,-6.706821098684867,69.60946407441736,70.10069182809498,67.97896102014607
4,1,7.2208713833470926,SLA,10,7.735885339771983,2.716503156289492,0.5150139564248901,-4.504368227057601,69.60946407441736,68.66792934606426,67.97426279544509
5,2,7.5559131656801375,SEL,10,7.620000516428503,2.2109583375103288,0.06408735074836525,-5.344954828169809,69.36472378320975,69.2605501295902,68.20338812934028
6,2,7.5559131656801375,WEL,9,7.584147876411404,1.079056232608511,0.028234710731266155,-6.476856933071627,69.36472378320975,68.86882360715576,68.26564127604166
7,2,7.5559131656801375,NUT,29,7.423172188621636,1.0980034152631963,-0.13274097705850174,-6.457909750416941,69.36472378320975,69.48028102899958,66.79159884982639
8,2,7.5559131656801375,WLA,19,8.605163851831547,1.8331784285156631,1.0492506861514093,-5.722734737164474,69.36472378320975,69.57628871933322,67.6006332476593
9,2,7.5559131656801375,SLA,8,5.433255589899475,0.0879716136150298,-2.1226575757806625,-7.467941552065108,69.36472378320975,68.96239259314898,67.75995498223305
10,3,9.599032120587069,SEL,8,5.3785937555772385,1.4061205368805896,-4.22043836500983,-8.19291158370648,70.02840870750246,70.27085391372873,69.13167317708334
11,3,9.599032120587069,WEL,5,12.622443014393166,3.606599956255468,3.0234108938060977,-5.992432164331601,70.02840870750246,69.8733775795546,69.5749850487804
12,3,9.599032120587069,NUT,39,10.32103909817972,0.542374050303174,0.7220069775926508,-9.056658070283895,70.02840870750246,70.10545894086177,68.44346788194444
13,3,9.599032120587069,WLA,20,9.550485264794917,1.948143933180228,-0.04854685579215179,-7.65088818740684,70.02840870750246,69.87977034670774,67.46830687585714
14,3,9.599032120587069,SLA,3,6.752071267513003,1.292936425752771,-2.8469608530740658,-8.306095694834298,70.02840870750246,69.7002509072797,69.7002509072797
15,4,9.12016755074986,SEL,2,5.629857180938321,4.870964547942792,-3.4903103698115396,-4.249203002807068,71.08844576339663,69.9800048828125,69.9800048828125
16,4,9.12016755074986,WEL,12,9.737896891283954,3.1602735381276124,0.617729340534094,-5.959894012622248,71.08844576339663,71.7455337139416,69.67942437065972
17,4,9.12016755074986,NUT,43,8.77705691370048,0.2582323770197671,-0.3431106370493797,-8.861935173730092,71.08844576339663,70.93307225776518,68.87205393427706
18,4,9.12016755074986,WLA,16,9.505434497007421,0.7648488264731883,0.38526694625756086,-8.355318724276671,71.08844576339663,70.9164611493827,69.74684548223232
19,4,9.12016755074986,SLA,2,13.198845003858027,7.130384336723535,4.078677453108167,-1.9897832140263256,71.08844576339663,72.54911024305555,72.54911024305555
20,5,5.163130786997481,SEL,2,9.422513320817536,7.591975536478079,4.259382533820055,2.4288447494805983,72.44523369964023,72.31554633246529,72.31554633246529
21,5,5.163130786997481,WEL,13,6.447892123168431,2.0490582394648587,1.2847613361709502,-3.1140725475326225,72.44523369964023,71.68496490752518,69.72904459635416
