,oldMonth,oldET,Month,ET
0,January,1.79098021747076,June,2.315152591973244
1,February,1.9120871351555975,July,2.346569293478261
2,March,2.2309039266748365,August,1.983539998093059
3,April,2.1825869548599166,September,1.7421417334096112
4,May,2.295431857638889,October,1.7435469504830918
5,June,2.315152591973244,November,1.721163843334181
6,July,2.346569293478261,December,1.4603225710335621
7,August,1.983539998093059,January,1.79098021747076
8,September,1.7421417334096112,February,1.9120871351555975
9,October,1.7435469504830918,March,2.2309039266748365
10,November,1.721163843334181,April,2.1825869548599166
11,December,1.4603225710335621,May,2.295431857638889
