,oldMonth,OldTemp,Month,Temp
0,January,67.37709538495784,April,68.82840579538438
1,February,67.0196559486172,May,70.35584056097787
2,March,67.5167683165887,June,72.03725863655878
3,April,68.82840579538438,July,73.03282986714852
4,May,70.35584056097787,August,73.68339287017965
5,June,72.03725863655878,September,73.36226116468116
6,July,73.03282986714852,October,72.60839611967052
7,August,73.68339287017965,November,70.80430508190008
8,September,73.36226116468116,December,68.76872426414245
9,October,72.60839611967052,January,67.37709538495784
10,November,70.80430508190008,February,67.0196559486172
11,December,68.76872426414245,March,67.5167683165887
