oldMonth,oldNDVI,Month,NDVI
January,0.3596453921000162,November,0.33354892253875734
February,0.3759695339202881,December,0.35876697540283203
March,0.32135784467061357,January,0.3596453921000162
April,0.31594930449102676,February,0.3759695339202881
May,0.3094668378177871,March,0.32135784467061357
June,0.29710036312413013,April,0.31594930449102676
July,0.2621489620616293,May,0.3094668378177871
August,0.26451707039123923,June,0.29710036312413013
September,0.28417881126077765,July,0.2621489620616293
October,0.2960597042344574,August,0.26451707039123923
November,0.33354892253875734,September,0.28417881126077765
December,0.35876697540283203,October,0.2960597042344574
