oldMonth,RF_in,Month,RF
January,3.819624250936637,May,1.5799916684642294
February,2.569754974950129,June,0.7539283263269878
March,3.0363884559027676,July,0.7490430230634203
April,1.890710134083041,August,0.9890193275183783
May,1.5799916684642294,September,1.4381890192326092
June,0.7539283263269878,October,2.06776438273161
July,0.7490430230634203,November,2.275748625418591
August,0.9890193275183783,December,3.344013402897251
September,1.4381890192326092,January,3.819624250936637
October,2.06776438273161,February,2.569754974950129
November,2.275748625418591,March,3.0363884559027676
December,3.344013402897251,April,1.890710134083041
