,Year,Month,RF_mm,RF_in
0,1920.0,1.0,158.12566416362333,6.225419848961549
1,1920.0,2.0,21.555168953167616,0.8486286989436069
2,1920.0,3.0,109.82940782174556,4.323992433926991
3,1920.0,4.0,23.819151793711285,0.9377618816421768
4,1920.0,5.0,51.04006603624694,2.0094514187498795
5,1920.0,6.0,34.31728009782599,1.3510740195994486
6,1920.0,7.0,31.27424134023091,1.2312693441035791
7,1920.0,8.0,40.55298391037439,1.596574169699779
8,1920.0,9.0,15.278858512110965,0.6015298626815341
9,1920.0,10.0,34.83213714735042,1.3713439821791509
10,1920.0,11.0,59.97442071677665,2.361197666014829
11,1920.0,12.0,386.7118680152668,15.22487669351444
12,1921.0,1.0,268.55199599407126,10.572913228113045
13,1921.0,2.0,77.48026817366922,3.050404258805875
14,1921.0,3.0,21.50000116246692,0.8464567386798
15,1921.0,4.0,28.381349981183835,1.1173759835111747
16,1921.0,5.0,29.838157191079045,1.1747305980739782
17,1921.0,6.0,13.429231333309376,0.5287098950121802
18,1921.0,7.0,30.86966119574372,1.2153409919584142
19,1921.0,8.0,20.70727088747645,0.8152468853337187
20,1921.0,9.0,20.57112429692195,0.8098867833433839
21,1921.0,10.0,77.0938945296248,3.0351926980167248
22,1921.0,11.0,14.232397564769496,0.5603306127862007
23,1921.0,12.0,174.519872631547,6.87086112722626
24,1922.0,1.0,155.4670192560501,6.120748789608271
25,1922.0,2.0,33.5465262034941,1.320729378090319
26,1922.0,3.0,93.23792014037365,3.670784257495025
27,1922.0,4.0,16.404088844209028,0.6458302694570484
28,1922.0,5.0,22.862837074776373,0.9001116958573375
29,1922.0,6.0,30.29515058754464,1.1927224640765608
30,1922.0,7.0,10.503595425532414,0.413527378957969
31,1922.0,8.0,21.32715753408579,0.8396518714207004
32,1922.0,9.0,72.5703183010485,2.857099145710571
33,1922.0,10.0,57.10700835278754,2.2483074154640765
34,1922.0,11.0,55.39115370801215,2.180754082992604
35,1922.0,12.0,7.796582848362669,0.3069520806441996
36,1923.0,1.0,287.3837321806236,11.314320164591482
37,1923.0,2.0,161.7939960547453,6.369842364360052
38,1923.0,3.0,158.70050337751942,6.2480513140755685
39,1923.0,4.0,84.8618015989044,3.3410158109804886
40,1923.0,5.0,8.803297443502753,0.3465865135237305
41,1923.0,6.0,9.710125468891754,0.3822884042870769
42,1923.0,7.0,15.937699504152558,0.6274684844154551
43,1923.0,8.0,11.779154501017734,0.4637462401975486
44,1923.0,9.0,22.06222384074736,0.8685914897932032
45,1923.0,10.0,27.889057475434253,1.097994388796624
46,1923.0,11.0,11.65171887888711,0.4587290897199649
47,1923.0,12.0,234.0301770994649,9.213786499978934
48,1924.0,1.0,7.725386475670267,0.3041490738452861
49,1924.0,2.0,50.3080839348968,1.9806332257833388
50,1924.0,3.0,64.85844328840808,2.5534820192286647
51,1924.0,4.0,272.4435255964832,10.726123054979654
52,1924.0,5.0,40.55346273388383,1.5965930210190484
53,1924.0,6.0,19.219991384878668,0.7566925742078217
54,1924.0,7.0,58.84065325584638,2.316561151804976
55,1924.0,8.0,19.76800644891502,0.7782679704297253
56,1924.0,9.0,22.920361863085503,0.9023764513025788
57,1924.0,10.0,42.14976828761355,1.6594396963627382
58,1924.0,11.0,30.22036055841389,1.1897779747407045
59,1924.0,12.0,136.42466794527493,5.371049919105313
60,1925.0,1.0,50.61376020894248,1.992667724761515
61,1925.0,2.0,13.375624470456817,0.5265993886006621
