oldMonth,oldNDVI,Month,NDVI
January,0.6839400453920718,November,0.6030730278109327
February,0.6027956701208044,December,0.6629201554663388
March,0.5677221368860316,January,0.6839400453920718
April,0.4690784072151437,February,0.6027956701208044
May,0.5165037071829395,March,0.5677221368860316
June,0.5080887675851385,April,0.4690784072151437
July,0.5370896177300927,May,0.5165037071829395
August,0.49393836996833823,June,0.5080887675851385
September,0.4929410784106422,July,0.5370896177300927
October,0.5360881057333515,August,0.49393836996833823
November,0.6030730278109327,September,0.4929410784106422
December,0.6629201554663388,October,0.5360881057333515
