,oldMonth,oldET,Month,ET
0,January,2.820019302814328,June,4.403501882247624
1,February,3.1240503675276154,July,4.543332230118915
2,March,3.735917466476556,August,4.531747115751335
3,April,3.6080705679243086,September,3.905578918881748
4,May,4.591872796018605,October,3.4025328541742788
5,June,4.403501882247624,November,2.7968791106736366
6,July,4.543332230118915,December,2.267390546400991
7,August,4.531747115751335,January,2.820019302814328
8,September,3.905578918881748,February,3.1240503675276154
9,October,3.4025328541742788,March,3.735917466476556
10,November,2.7968791106736366,April,3.6080705679243086
11,December,2.267390546400991,May,4.591872796018605
