,Month,tmean_f
421,February,56.425160047743056
422,March,55.03318956163194
423,April,55.81067165798611
424,May,56.190738932291666
425,June,59.041997612847226
426,July,60.51906467013889
427,August,61.38358289930556
428,September,60.650366210937506
429,October,58.66336805555555
430,November,57.72007378472222
431,December,56.85295952690972
432,January,55.63505316840278
