,oldMonth,tmean_f,Month,Temp
0,January,55.3719688805016,February,54.21908817997685
1,February,54.21908817997685,March,54.465133252555944
2,March,54.465133252555944,April,55.42254307122878
3,April,55.42254307122878,May,56.96107460304543
4,May,56.96107460304543,June,58.6598540129485
5,June,58.6598540129485,July,60.09193710515529
6,July,60.09193710515529,August,60.68922330126351
7,August,60.68922330126351,September,59.696273841386954
8,September,59.696273841386954,October,59.22898469147859
9,October,59.22898469147859,November,57.85422031732253
10,November,57.85422031732253,December,56.13245069715712
11,December,56.13245069715712,January,55.3719688805016
