oldMonth,RF_in,Month,RF
January,5.098714828534532,May,1.5094919902513857
February,3.5521133514109664,June,0.8471056011948763
March,3.9465355080746805,July,1.036493205427873
April,2.0763384989903164,August,1.4130145775687397
May,1.5094919902513857,September,1.4296619396371026
June,0.8471056011948763,October,2.6778348371956953
July,1.036493205427873,November,3.1617001259377946
August,1.4130145775687397,December,4.619353808399991
September,1.4296619396371026,January,5.098714828534532
October,2.6778348371956953,February,3.5521133514109664
November,3.1617001259377946,March,3.9465355080746805
December,4.619353808399991,April,2.0763384989903164
