,oldMonth,OldTemp,Month,Temp
0,January,71.29831930180252,April,72.8907492712595
1,February,71.12117669975993,May,74.17039415361441
2,March,71.81581816703333,June,75.23506523483323
3,April,72.8907492712595,July,76.10788040338652
4,May,74.17039415361441,August,76.78590295647822
5,June,75.23506523483323,September,76.70543621390645
6,July,76.10788040338652,October,76.00892011019826
7,August,76.78590295647822,November,74.42450916599854
8,September,76.70543621390645,December,72.51684022108856
9,October,76.00892011019826,January,71.29831930180252
10,November,74.42450916599854,February,71.12117669975993
11,December,72.51684022108856,March,71.81581816703333
