oldMonth,RF_in,Month,RF
January,10.998038136624823,May,9.425384102743738
February,11.62064523648614,June,7.303227579041288
March,14.907828338601671,July,10.19117938828958
April,12.50364421763112,August,11.684133698280917
May,9.425384102743738,September,9.00063823372217
June,7.303227579041288,October,11.242759227118606
July,10.19117938828958,November,13.936593223949364
August,11.684133698280917,December,14.286551169828776
September,9.00063823372217,January,10.998038136624823
October,11.242759227118606,February,11.62064523648614
November,13.936593223949364,March,14.907828338601671
December,14.286551169828776,April,12.50364421763112
