oldMonth,RF_in,Month,RF
January,2.6088446402973013,May,1.9178554262928005
February,2.1350406221736526,June,1.0270665883298593
March,2.7692952899986563,July,1.44402840071227
April,2.4184742311901353,August,1.96718617271644
May,1.9178554262928005,September,1.439949760408395
June,1.0270665883298593,October,1.8922330109558143
July,1.44402840071227,November,2.125398840060491
August,1.96718617271644,December,2.123193508710528
September,1.439949760408395,January,2.6088446402973013
October,1.8922330109558143,February,2.1350406221736526
November,2.125398840060491,March,2.7692952899986563
December,2.123193508710528,April,2.4184742311901353
