Year,Month,RF_mm,RF_in
1920.0,1.0,217.75624517746914,8.573080518797997
1920.0,2.0,148.55647183641975,5.848679993559833
1920.0,3.0,676.9082754629629,26.649932104841064
1920.0,4.0,203.40333236882717,8.008005211371149
1920.0,5.0,83.49587673611111,3.287239241579178
1920.0,6.0,121.15810667438272,4.770004199778848
1920.0,7.0,213.12336033950618,8.390683477933315
1920.0,8.0,218.49474344135803,8.602155253596774
1920.0,9.0,299.15282600308643,11.777670315082144
1920.0,10.0,432.5055459104938,17.02777739805094
1920.0,11.0,266.6106288580247,10.496481451103335
1920.0,12.0,310.62736304012344,12.229423741737143
1921.0,1.0,1258.3447145061727,49.54113049236901
1921.0,2.0,123.76584201388889,4.8726709454286965
1921.0,3.0,126.10763888888889,4.964867672790901
1921.0,4.0,326.7100935570988,12.862602108547197
1921.0,5.0,92.24808907214506,3.6318145303994123
1921.0,6.0,92.96531394675925,3.6600517301873725
1921.0,7.0,260.78269675925924,10.267035305482647
1921.0,8.0,331.7106722608025,13.059475285858365
1921.0,9.0,274.43590856481484,10.80456332932342
1921.0,10.0,364.2719425154321,14.341415059662681
1921.0,11.0,612.0375675154321,24.095967225017013
1921.0,12.0,392.7580536265432,15.462915497108
1922.0,1.0,719.6211902006173,28.331542921284147
1922.0,2.0,523.7646604938271,20.620655924953827
1922.0,3.0,1478.8645833333333,58.223015091863516
1922.0,4.0,395.632209683642,15.57607124738748
1922.0,5.0,247.33314043209876,9.737525213862156
1922.0,6.0,65.17576919367283,2.56597516510523
1922.0,7.0,226.4547164351852,8.915540017133276
1922.0,8.0,294.81749131944446,11.606987847222223
1922.0,9.0,458.2732445987654,18.042253724360844
1922.0,10.0,181.92356288580248,7.162344995504035
1922.0,11.0,436.1100983796296,17.169688912583844
1922.0,12.0,102.38065441743827,4.030734425883397
1923.0,1.0,935.2914737654321,36.822498967143
1923.0,2.0,403.59092881944446,15.889406646434821
1923.0,3.0,721.8383487654321,28.41883262856032
1923.0,4.0,731.6955054012345,28.806909661465927
1923.0,5.0,319.22711709104937,12.567996735868086
1923.0,6.0,258.6876446759259,10.184552939997085
1923.0,7.0,357.97559799382714,14.093527480071936
1923.0,8.0,346.1825327932099,13.629233574535823
1923.0,9.0,361.4720775462963,14.231184155365996
1923.0,10.0,357.489631558642,14.074394943253623
1923.0,11.0,201.513973283179,7.933620995400749
1923.0,12.0,850.7241512345679,33.49307682025858
1924.0,1.0,64.36713324652777,2.534139104194007
1924.0,2.0,315.8411458333333,12.434690780839896
1924.0,3.0,366.3631606867284,14.423746483729465
1924.0,4.0,687.9339313271605,27.0840130443764
1924.0,5.0,178.448543595679,7.025533212428308
1924.0,6.0,84.23590615354938,3.3163742580137554
1924.0,7.0,385.6643036265432,15.183634001045009
1924.0,8.0,330.76331018518516,13.022177566345873
1924.0,9.0,250.07875192901236,9.845620154685527
1924.0,10.0,639.5080054012345,25.17748052760766
1924.0,11.0,304.76475694444446,11.998612478127734
1924.0,12.0,105.49705825617283,4.153427490400506
1925.0,1.0,469.1195987654321,18.469275541946146
1925.0,2.0,47.56778669945987,1.872747507852751
1925.0,3.0,898.043113425926,35.35602808763488
1925.0,4.0,474.6813271604938,18.688241226791096
1925.0,5.0,296.50737847222223,11.673518837489064
1925.0,6.0,222.69779610339506,8.7676297678502
1925.0,7.0,140.66837866512347,5.5381251442962
1925.0,8.0,515.2984664351852,20.28734119823564
1925.0,9.0,252.10599922839506,9.925433040487995
1925.0,10.0,131.6815803433642,5.184314186746622
1925.0,11.0,298.5027488425926,11.752076726086324
1925.0,12.0,50.64421175733025,1.9938666046193012
1926.0,1.0,89.82006534529322,3.536223045090284
1926.0,2.0,180.97880497685185,7.125149802238262
1926.0,3.0,59.72187258873457,2.351254826328133
1926.0,4.0,76.33500916280865,3.005315321370419
1926.0,5.0,199.04757426697532,7.836518671928163
1926.0,6.0,74.13174551504629,2.918572658072689
1926.0,7.0,155.10737364969137,6.106589513767377
1926.0,8.0,504.74614197530866,19.87189535335861
1926.0,9.0,281.8939525462963,11.098187108121902
1926.0,10.0,181.61203944830248,7.150080293240255
1926.0,11.0,106.83417727623457,4.206069971505298
1926.0,12.0,532.9713541666666,20.983124179790025
1927.0,1.0,398.34669174382714,15.682940619835716
1927.0,2.0,75.0595703125,2.955101193405512
1927.0,3.0,584.8269675925926,23.0246837634879
1927.0,4.0,299.1921778549383,11.779219600588123
1927.0,5.0,402.4426601080247,15.844199216851367
1927.0,6.0,205.03660300925927,8.072307205088949
1927.0,7.0,350.53071952160496,13.800422028409645
1927.0,8.0,461.80473572530866,18.181288808083018
1927.0,9.0,351.8589891975309,13.852716110139012
1927.0,10.0,246.192684220679,9.692625363018859
1927.0,11.0,347.06944444444446,13.664151356080492
1927.0,12.0,1346.0922067901236,52.99575617283951
1928.0,1.0,241.50665509259258,9.508136027267424
1928.0,2.0,141.30521797839506,5.56319755820453
1928.0,3.0,121.2506992669753,4.773649577439973
1928.0,4.0,235.96310763888889,9.289886127515311
1928.0,5.0,254.06534529320987,10.002572649338973
1928.0,6.0,243.94572241512347,9.604162299808012
1928.0,7.0,357.68962191358025,14.082268579274814
1928.0,8.0,253.5826099537037,9.983567321011957
1928.0,9.0,330.57523148148147,13.014772892971711
1928.0,10.0,372.802131558642,14.677249273962284
1928.0,11.0,239.89448302469137,9.444664686011471
1928.0,12.0,682.940055941358,26.887403777218818
1929.0,1.0,209.29851466049382,8.240099002381648
1929.0,2.0,426.2160011574074,16.78015752588218
1929.0,3.0,389.00248360339504,15.315058409582482
1929.0,4.0,354.74971064814815,13.966524041265677
1929.0,5.0,113.35679494598766,4.46286594275542
1929.0,6.0,141.68354552469137,5.578092343491787
1929.0,7.0,371.40895061728395,14.62239963060173
1929.0,8.0,233.91541280864197,9.209268220812676
1929.0,9.0,184.16414689429013,7.250556964342131
1929.0,10.0,135.6118827160494,5.339050500631866
1929.0,11.0,434.615837191358,17.11085973194323
1929.0,12.0,438.1376350308642,17.249513190191504
1930.0,1.0,124.22849151234568,4.890885492612035
1930.0,2.0,146.2223186728395,5.756784199718091
1930.0,3.0,404.1944685570988,15.913168053429088
1930.0,4.0,595.7587770061729,23.455069960872947
1930.0,5.0,316.29296875,12.45247908464567
1930.0,6.0,429.09529320987656,16.8935154807038
1930.0,7.0,321.21050347222223,12.646082813867018
1930.0,8.0,678.3008777006173,26.704758964591235
1930.0,9.0,521.4801311728395,20.530713825702342
1930.0,10.0,281.29210069444446,11.074492153324586
1930.0,11.0,566.6631944444445,22.309574584426947
1930.0,12.0,218.46190200617283,8.600862283707592
1931.0,1.0,79.51990499614197,3.130704921107952
1931.0,2.0,244.98572530864197,9.645107295615826
1931.0,3.0,85.7724006558642,3.376866167553709
1931.0,4.0,232.77100212191357,9.164212681965102
1931.0,5.0,149.48096305941357,5.885077285803684
1931.0,6.0,119.41172357253086,4.701248959548459
1931.0,7.0,409.8069058641975,16.13413015213376
1931.0,8.0,372.5661892361111,14.667960206146107
1931.0,9.0,568.6541280864197,22.387957798677945
1931.0,10.0,317.2214023919753,12.489031590235248
1931.0,11.0,477.7278163580247,18.808181746378928
1931.0,12.0,165.0975959683642,6.499905353085206
1932.0,1.0,743.6387924382716,29.277117812530378
1932.0,2.0,749.7360146604939,29.51716593151551
1932.0,3.0,152.41975308641975,6.000777680567706
1932.0,4.0,389.78660300925924,15.345929252333042
1932.0,5.0,324.3753858024691,12.77068448041217
1932.0,6.0,194.2618393132716,7.648103909971323
1932.0,7.0,313.348331404321,12.33654848048508
1932.0,8.0,183.5278621720679,7.225506384727083
1932.0,9.0,213.9458670910494,8.423065633505882
1932.0,10.0,90.59538966049382,3.5667476244288907
1932.0,11.0,269.6995563271605,10.618092768785848
1932.0,12.0,457.4078896604938,18.008184632302907
1933.0,1.0,711.321662808642,28.004789874355986
1933.0,2.0,313.96363811728395,12.360773154223779
1933.0,3.0,342.236255787037,13.473868338072323
1933.0,4.0,359.76475694444446,14.163966808836397
1933.0,5.0,273.1272665895062,10.753041991712843
1933.0,6.0,190.48901668595678,7.499567586061291
1933.0,7.0,156.13835841049382,6.147179464980072
1933.0,8.0,127.25950038580247,5.010216550622145
1933.0,9.0,193.42447916666666,7.615136975065617
1933.0,10.0,109.84818672839506,4.324731760960436
1933.0,11.0,139.89762972608025,5.507780697877176
1933.0,12.0,78.95325761959876,3.108395969275542
1934.0,1.0,424.3143325617284,16.705288683532615
1934.0,2.0,148.05262586805554,5.828843538112423
1934.0,3.0,106.3317539544753,4.186289525766744
1934.0,4.0,303.2317708333333,11.938258694225722
1934.0,5.0,508.5952449845679,20.023434841912124
1934.0,6.0,369.69008005401236,14.55472756118159
1934.0,7.0,302.75245949074076,11.919388168926803
1934.0,8.0,191.70581356095678,7.547472974840819
1934.0,9.0,407.39506172839504,16.039175658598232
1934.0,10.0,426.55275848765433,16.793415688490327
1934.0,11.0,333.98734085648147,13.149107907735491
1934.0,12.0,444.86781442901236,17.514480883031982
1935.0,1.0,280.3328751929012,11.03672736979926
1935.0,2.0,669.9818672839506,26.377238869446874
1935.0,3.0,379.77223186728395,14.951662671940314
1935.0,4.0,355.12109375,13.981145423228348
1935.0,5.0,158.47716531635803,6.23925847702197
1935.0,6.0,216.43422067901236,8.521032310197338
1935.0,7.0,314.2736786265432,12.372979473485954
1935.0,8.0,203.1756847993827,7.9990427086371145
1935.0,9.0,241.37779706790124,9.503062876689025
1935.0,10.0,250.46219135802468,9.860716195197822
1935.0,11.0,421.1455922067901,16.58053512625158
1935.0,12.0,149.10697579089506,5.870353377594294
1936.0,1.0,164.7586926118827,6.486562701255225
1936.0,2.0,81.36048418209876,3.2031686685865655
1936.0,3.0,450.14448302469134,17.722223741129582
