Year,Month,NDVI,datetime
2000.0,4.0,0.2398449933087384,2000-04-01
2000.0,5.0,0.2281325304949725,2000-05-01
2000.0,6.0,0.2434954702118296,2000-06-01
2000.0,7.0,0.2270351692482277,2000-07-01
2000.0,8.0,0.2170952220021942,2000-08-01
2000.0,9.0,0.1955118061583719,2000-09-01
2000.0,10.0,0.2392234331295814,2000-10-01
2000.0,11.0,0.5048664705252942,2000-11-01
2000.0,12.0,0.5476167937855662,2000-12-01
2001.0,1.0,0.4146580166286892,2001-01-01
2001.0,2.0,0.3451776386779032,2001-02-01
2001.0,3.0,0.3049626527009187,2001-03-01
2001.0,4.0,0.2869645813365041,2001-04-01
2001.0,5.0,0.1738331170729649,2001-05-01
2001.0,6.0,0.2299251085446204,2001-06-01
2001.0,7.0,0.2412384880913628,2001-07-01
2001.0,8.0,0.2390255162745346,2001-08-01
2001.0,9.0,0.2394813019552348,2001-09-01
2001.0,10.0,0.2449303850715543,2001-10-01
2001.0,11.0,0.2620632736771195,2001-11-01
2001.0,12.0,0.6516246560179157,2001-12-01
2002.0,1.0,0.7445955158751688,2002-01-01
2002.0,2.0,0.6449146035276814,2002-02-01
2002.0,3.0,0.5046733809106144,2002-03-01
2002.0,4.0,0.5412929676197193,2002-04-01
2002.0,5.0,0.5468023794668692,2002-05-01
2002.0,6.0,0.4634988572862413,2002-06-01
2002.0,7.0,0.3431136990770881,2002-07-01
2002.0,8.0,0.3016653885076075,2002-08-01
2002.0,9.0,0.2657539461865837,2002-09-01
2002.0,10.0,0.5579820326816889,2002-10-01
2002.0,11.0,0.6981727694287713,2002-11-01
2002.0,12.0,0.5835738476411796,2002-12-01
2003.0,1.0,0.5444075501995322,2003-01-01
2003.0,2.0,0.6084797235182774,2003-02-01
2003.0,3.0,0.4769949736418547,2003-03-01
2003.0,4.0,0.4239675262827932,2003-04-01
2003.0,5.0,0.326843332361292,2003-05-01
2003.0,6.0,0.3313510329635055,2003-06-01
2003.0,7.0,0.2499947724518952,2003-07-01
2003.0,8.0,0.2813456970968364,2003-08-01
2003.0,9.0,0.240552384176372,2003-09-01
2003.0,10.0,0.2690262029200424,2003-10-01
2003.0,11.0,0.2828303207585841,2003-11-01
2003.0,12.0,0.6073675273377218,2003-12-01
2004.0,1.0,0.7240501686378762,2004-01-01
2004.0,2.0,0.6727704177668066,2004-02-01
2004.0,3.0,0.565334838113667,2004-03-01
2004.0,4.0,0.5996512895748939,2004-04-01
2004.0,5.0,0.5979065600736642,2004-05-01
2004.0,6.0,0.5526329794047792,2004-06-01
2004.0,7.0,0.4543336938928675,2004-07-01
2004.0,8.0,0.4215760407624421,2004-08-01
2004.0,9.0,0.3958111986701871,2004-09-01
2004.0,10.0,0.373247641104239,2004-10-01
2004.0,11.0,0.5380648860224971,2004-11-01
2004.0,12.0,0.4628418345510224,2004-12-01
2005.0,1.0,0.5976338327666859,2005-01-01
2005.0,2.0,0.6809119707272376,2005-02-01
2005.0,3.0,0.5959821159456983,2005-03-01
2005.0,4.0,0.5464161060474537,2005-04-01
2005.0,5.0,0.4251367545422213,2005-05-01
2005.0,6.0,0.3248452080620659,2005-06-01
2005.0,7.0,0.3151242056010682,2005-07-01
2005.0,8.0,0.3411169876287013,2005-08-01
2005.0,9.0,0.3655877760898919,2005-09-01
