oldMonth,oldNDVI,Month,NDVI
January,0.5235393128571687,November,0.3843329347210166
February,0.5553828995316117,December,0.4614253366729359
March,0.5099056206220461,January,0.5235393128571687
April,0.4389531678057577,February,0.5553828995316117
May,0.3791991837909985,March,0.5099056206220461
June,0.33286646945297654,April,0.4389531678057577
July,0.3130949157142458,May,0.3791991837909985
August,0.30279784007855853,June,0.33286646945297654
September,0.30598517360850275,July,0.3130949157142458
October,0.33165236868862863,August,0.30279784007855853
November,0.3843329347210166,September,0.30598517360850275
December,0.4614253366729359,October,0.33165236868862863
