oldMonth,RF_in,Month,RF
January,3.2590334724459007,May,0.5832007483474194
February,2.0931841927787938,June,0.2000458833731642
March,1.644135223876618,July,0.2987415183140625
April,0.9152255649172795,August,0.3110302661457119
May,0.5832007483474194,September,0.3356807988460107
June,0.2000458833731642,October,0.5308371372130158
July,0.2987415183140625,November,1.5657019038423672
August,0.3110302661457119,December,2.3817781159934324
September,0.3356807988460107,January,3.2590334724459007
October,0.5308371372130158,February,2.0931841927787938
November,1.5657019038423672,March,1.644135223876618
December,2.3817781159934324,April,0.9152255649172795
