oldMonth,oldNDVI,Month,NDVI
January,0.48879218442940414,November,0.3454297621456193
February,0.48671089195910794,December,0.4475723429079409
March,0.3874601079210822,January,0.48879218442940414
April,0.34800841756242856,February,0.48671089195910794
May,0.37637807501007686,March,0.3874601079210822
June,0.36507998272451125,April,0.34800841756242856
July,0.32095428511627716,May,0.37637807501007686
August,0.3684836421144201,June,0.36507998272451125
September,0.4285676132919442,July,0.32095428511627716
October,0.39901019274792215,August,0.3684836421144201
November,0.3454297621456193,September,0.4285676132919442
December,0.4475723429079409,October,0.39901019274792215
