,oldMonth,oldET,Month,ET
0,January,3.442360839750435,June,4.7461887198211965
1,February,3.697491774807085,July,4.770932598773682
2,March,4.0408066326478815,August,4.699232042133489
3,April,3.964004166045182,September,4.50880401328445
4,May,4.865383829664077,October,3.656578412310825
5,June,4.7461887198211965,November,3.2202396368552018
6,July,4.770932598773682,December,2.7831882702617117
7,August,4.699232042133489,January,3.442360839750435
8,September,4.50880401328445,February,3.697491774807085
9,October,3.656578412310825,March,4.0408066326478815
10,November,3.2202396368552018,April,3.964004166045182
11,December,2.7831882702617117,May,4.865383829664077
