oldMonth,RF_in,Month,RF
January,10.504840934529543,May,6.15045306801142
February,7.926310682593631,June,6.210728668149809
March,11.028092481830354,July,8.514782525853523
April,7.584535991226734,August,6.427766539609708
May,6.15045306801142,September,6.845497120950507
June,6.210728668149809,October,8.277373752450456
July,8.514782525853523,November,9.336546410794686
August,6.427766539609708,December,9.716415417447758
September,6.845497120950507,January,10.504840934529543
October,8.277373752450456,February,7.926310682593631
November,9.336546410794686,March,11.028092481830354
December,9.716415417447758,April,7.584535991226734
