,Month,NDVI
292,August,0.5459655125935873
293,September,0.6309960153367784
294,October,0.6625321706136068
295,November,0.6661278406778971
296,December,0.6795615090264214
297,January,0.6586857901679145
298,February,0.6901941829257541
299,March,0.6567867596944174
300,April,0.6385376188490126
301,May,0.6496230231391059
302,June,0.573101626502143
303,July,0.5641539891560873
