,oldMonth,OldTemp,Month,Temp
0,January,66.76355830395524,May,69.68361638733863
1,February,66.37590601200102,June,71.36483458482658
2,March,66.85293797654327,July,72.37504515442637
3,April,68.14620918267921,August,73.01864538316302
4,May,69.68361638733863,September,72.65346770553577
5,June,71.36483458482658,October,71.92597363405253
6,July,72.37504515442637,November,70.14400324542265
7,August,73.01864538316302,December,68.12720411447881
8,September,72.65346770553577,January,66.76355830395524
9,October,71.92597363405253,February,66.37590601200102
10,November,70.14400324542265,March,66.85293797654327
11,December,68.12720411447881,April,68.14620918267921
