oldMonth,oldNDVI,Month,NDVI
January,0.6868351978725857,November,0.6553172429402668
February,0.6502314737108018,December,0.6888397132025824
March,0.6355014758639865,January,0.6868351978725857
April,0.617758724424574,February,0.6502314737108018
May,0.5983593066533406,March,0.6355014758639865
June,0.6014583966670892,April,0.617758724424574
July,0.5795421539208828,May,0.5983593066533406
August,0.5817636750702165,June,0.6014583966670892
September,0.5734395287994645,July,0.5795421539208828
October,0.5982423684535882,August,0.5817636750702165
November,0.6553172429402668,September,0.5734395287994645
December,0.6888397132025824,October,0.5982423684535882
