oldMonth,RF_in,Month,RF
January,7.179215390487131,May,3.223494477397784
February,6.628878839549755,June,1.689217704477665
March,8.204462035050724,July,2.947209164683374
April,6.759613689610953,August,2.8308860426946754
May,3.223494477397784,September,2.054132880238013
June,1.689217704477665,October,3.1807605386058455
July,2.947209164683374,November,6.010181965919523
August,2.8308860426946754,December,7.939224293384633
September,2.054132880238013,January,7.179215390487131
October,3.1807605386058455,February,6.628878839549755
November,6.010181965919523,March,8.204462035050724
December,7.939224293384633,April,6.759613689610953
