oldMonth,RF_in,Month,RF
January,6.415256105888695,May,4.460686032225458
February,5.134998716200559,June,3.13486718737641
March,6.8354938955423785,July,4.168722312092102
April,5.053337137238079,August,4.308454714002784
May,4.460686032225458,September,3.90868718022164
June,3.13486718737641,October,5.701718224006681
July,4.168722312092102,November,6.6937178173219225
August,4.308454714002784,December,6.735942893352549
September,3.90868718022164,January,6.415256105888695
October,5.701718224006681,February,5.134998716200559
November,6.6937178173219225,March,6.8354938955423785
December,6.735942893352549,April,5.053337137238079
