oldMonth,oldNDVI,Month,NDVI
January,0.610826448040244,November,0.6076337592984423
February,0.5569133070957514,December,0.6037048452871817
March,0.5564854035554109,January,0.610826448040244
April,0.5535139824703321,February,0.5569133070957514
May,0.5629258006386607,March,0.5564854035554109
June,0.5491147453402295,April,0.5535139824703321
July,0.5256173458986926,May,0.5629258006386607
August,0.5673216577948328,June,0.5491147453402295
September,0.5674117786592228,July,0.5256173458986926
October,0.6382470669796211,August,0.5673216577948328
November,0.6076337592984423,September,0.5674117786592228
December,0.6037048452871817,October,0.6382470669796211
