,oldMonth,tmean_f,Month,Temp
0,January,71.19825751044013,February,70.93037086769387
1,February,70.93037086769387,March,71.72388154959974
2,March,71.72388154959974,April,73.29209089867862
3,April,73.29209089867862,May,74.74042215229552
4,May,74.74042215229552,June,76.72950665509259
5,June,76.72950665509259,July,77.76083306206597
6,July,77.76083306206597,August,78.42938277633101
7,August,78.42938277633101,September,78.22376173984857
8,September,78.22376173984857,October,77.15352677710263
9,October,77.15352677710263,November,74.93381536036362
10,November,74.93381536036362,December,72.76976227936922
11,December,72.76976227936922,January,71.19825751044013
