oldMonth,oldNDVI,Month,NDVI
January,0.7044984647962782,November,0.6645401795705159
February,0.6726581531100803,December,0.7209950213962131
March,0.5814300950368245,January,0.7044984647962782
April,0.5854182304480137,February,0.6726581531100803
May,0.5138169532148247,March,0.5814300950368245
June,0.4982513907628181,April,0.5854182304480137
July,0.6014565626780193,May,0.5138169532148247
August,0.5580788728518363,June,0.4982513907628181
September,0.5134956011405358,July,0.6014565626780193
October,0.6012517519486257,August,0.5580788728518363
November,0.6645401795705159,September,0.5134956011405358
December,0.7209950213962131,October,0.6012517519486257
