oldMonth,RF_in,Month,RF
January,6.994324018050281,May,3.2519377982656374
February,5.690701606379877,June,1.6941153880153816
March,6.122061159671942,July,2.4149829804239067
April,4.559593981863577,August,3.4319775149271208
May,3.2519377982656374,September,3.831557934725674
June,1.6941153880153816,October,4.744265182337187
July,2.4149829804239067,November,5.761628197774341
August,3.4319775149271208,December,5.426324126243387
September,3.831557934725674,January,6.994324018050281
October,4.744265182337187,February,5.690701606379877
November,5.761628197774341,March,6.122061159671942
December,5.426324126243387,April,4.559593981863577
