oldMonth,oldNDVI,Month,NDVI
January,0.36922079109851225,November,0.2685933934906382
February,0.36418684123474876,December,0.3097088938583562
March,0.32648676601457005,January,0.36922079109851225
April,0.2785236018109299,February,0.36418684123474876
May,0.3001802857445176,March,0.32648676601457005
June,0.2914705285545994,April,0.2785236018109299
July,0.2558548393865369,May,0.3001802857445176
August,0.2426642148922651,June,0.2914705285545994
September,0.2592042558892839,July,0.2558548393865369
October,0.2683143688176545,August,0.2426642148922651
November,0.2685933934906382,September,0.2592042558892839
December,0.3097088938583562,October,0.2683143688176545
