oldMonth,RF_in,Month,RF
January,2.4684775238399346,April,1.3277320110664355
February,1.3909154371203647,May,1.0449222598904306
March,1.7247016556642945,June,0.7634234908687938
April,1.3277320110664355,July,0.8260515498902814
May,1.0449222598904306,August,0.7457541394061978
June,0.7634234908687938,September,0.6524825352342087
July,0.8260515498902814,October,0.8447093314290991
August,0.7457541394061978,November,1.2513609639742653
September,0.6524825352342087,December,1.7276459223568879
October,0.8447093314290991,January,2.4684775238399346
November,1.2513609639742653,February,1.3909154371203647
December,1.7276459223568879,March,1.7247016556642945
